"Team","Won","Lost","Points","NRR"
"SRH",10,4,20,0.77
"RCB",8,6,16,0.57
"MI",8,6,16,0.14
"CSK",7,7,14,-0.155
"KKR",7,7,14,-0.22
"RR",6,8,12,0.0950000000000001
"DD",6,8,12,-0.3
"KXIP",4,10,8,-0.9
