Batting position,Player name,Attribute ,
1,AM Rahane,Batsman,
2,RA Tripathi,Batsman,
3,SPD Smith,Batsman/Bowler/Captain,
4,SV Samson,Batsman/Wicketkeeper,
5,Gowtham Krishnappa,Bowler,Not yet played an IPL
6,JC Buttler,Batsman,
7,BA Stokes,Batsman/Bowler,
8,D’Arcy Short,Batsman/Bowler,
9,STR Binny,Batsman/Bowler,
10,JD Unadkat,Bowler,
11,DS Kulkarni,Bowler,
