Batting position,Player name,Attribute ,
1,CA Lynn,Batsman,
2,RV Uthappa,Batsman,
3,Shubman Gill,Batsman,first time in ipl
4,KD Karthik,Batsman/Wicketkeeper/Captain,
5,Nitish Rana,Batsman,first time in ipl
6,AD Russell,Batsman/Bowler,
7,SP Narine,Bowler,
8,PP Chawla,Bowler,
9,MA Starc,Bowler,
10,Kuldeep Yadav,Bowler,
11,Kamlesh Nagarkoti,Bowler,first time in ipl
