"Team","Won","Lost","Points","NRR"
"SRH",5,3,10,0.77
"CSK",5,2,10,-0.155
"MI",4,3,8,0.14
"KKR",4,3,8,-0.22
"RCB",3,3,6,0.57
"RR",3,4,6,0.0950000000000001
"DD",3,4,6,-0.3
"KXIP",1,6,2,-0.9
