Batting position,Player name,Attribute ,
1,RG Sharma,Batsman/Captain,
2,Evin Lewis,Batsman,first time in ipl
3,Ishan Kishan,Batsman/Wicketkeeper,
4,JP Duminy,Batsman/Bowler,
5,AS Yadav,Batsman/Wicketkeeper,
6,KA Pollard,Batsman/Bowler,
7,HH Pandya,Batsman/Bowler,
8,JJ Bumrah,Bowler,
9,KH Pandya,Bowler,
10,PJ Cummins,Bowler,
11,Mohsin Khan,Bowler,first time in ipl
