Batting position,Player name,Attribute 
1,BB McCullum,Batsman
2,Q de Kock,Batsman
3,V Kohli,Batsman/Bowler/Captain
4,AB de Villiers,Batsman
5,PA Patel,Batsman/Wicketkeeper
6,SN Khan,Batsman
7,CR Woakes,Batsman/Bowler
8,UT Yadav,Bowler
9,Washington Sundar,Bowler
10,N Saini,Bowler
11,YS Chahal,Bowler
