Batting position,Player name,Attribute 
1,DA Warner,Batsman/Captain
2,S Dhawan,Batsman
3,KS Williamson,Batsman
4,MK Pandey,Batsman
5,YK Pathan,Batsman/Bowler
6,WP Saha,Batsman/Wicketkeeper
7,CR Brathwaite,Batsman/Bowler
8,Shakib Al Hasan,Batsman/Bowler
9,B Kumar,Bowler
10,S Kaul,Bowler
11,Sandeep Sharma,Bowler
