Batting position,Player name,Attribute 
1,M Vijay,Batsman
2,F du Plessis,Batsman
3,SK Raina,Batsman/Bowler
4,MS Dhoni,Batsman/Wicketkeeper/Captain
5,DJ Bravo,Batsman/Bowler
6,RA Jadeja,Batsman/Bowler
7,SR Watson,Batsman/Bowler
8,Harbhajan Singh,Bowler
9,SN Thakur,Bowler
10,DL Chahar,Bowler
11,Imran Tahir,Bowler
